city_uuid,city,country_id,last_update
001f49ab-6547-4627-b550-e33d151b044f,Jamalpur,4dfffaba-d825-4843-8c62-8890d50448f1,"2024-08-25 14:21:49"
005fd28d-2642-4d66-8aa7-1cb4b81c7a40,Cabuyao,d65f34ef-0003-40d0-8773-d8b368e05763,"2024-08-25 14:21:49"
008d0cca-e34a-475d-ae65-28bd49743b9b,Xi´angfan,90e83933-ca94-46f5-a2f1-642339889753,"2024-08-25 14:21:50"
00af785e-8a31-41a3-907e-5f6921b8ab0c,Zhezqazghan,5acf0074-41ec-4a5a-b2d3-0ebed9f147ff,"2024-08-25 14:21:50"
0160d5c1-615f-4294-996d-24dcaad86e80,Molodetšno,f10666aa-7c05-4141-b2b3-f404c39a5901,"2024-08-25 14:21:49"
01bbcbd3-ebe1-4844-afb8-2f60335f2c55,Bagé,c54cb78a-6f18-4a69-a6da-cf891071719e,"2024-08-25 14:21:49"
0225ba61-06f5-4ef5-8b61-de2343aa978f,Onomichi,4c680ffb-b7e6-4cf2-afc5-57d8c2ebd4cc,"2024-08-25 14:21:49"
029734f8-1e6e-47fc-90c7-faf511a09a41,"Purnea (Purnia)",63e2ce20-ac3c-46e6-a597-675caf8f246c,"2024-08-25 14:21:50"
02cea1cd-189b-4266-823e-08899e65ba7d,Xintai,90e83933-ca94-46f5-a2f1-642339889753,"2024-08-25 14:21:50"
02fd857e-8cad-4bd9-8834-eb6c77ab18ed,Arecibo,900627db-49fd-4fb9-98a3-c96b415c831f,"2024-08-25 14:21:49"
031c40f4-6931-45f7-b9a5-218bf744d0e3,Botshabelo,4014d078-e6bc-43c6-8d3a-2a96853dc6c3,"2024-08-25 14:21:49"
035ec736-6056-47b7-8293-ac560ecfc30c,Bayugan,d65f34ef-0003-40d0-8773-d8b368e05763,"2024-08-25 14:21:49"
036021c0-8f62-490e-9b65-70443bfff045,"Santo André",c54cb78a-6f18-4a69-a6da-cf891071719e,"2024-08-25 14:21:50"
0388646a-b580-4ad6-acea-a8321dd3893e,Johannesburg,4014d078-e6bc-43c6-8d3a-2a96853dc6c3,"2024-08-25 14:21:49"
03e08d72-76d9-45d6-83ba-8e9dc909e69c,Lancaster,d483795b-4820-40c7-b8d4-d53114ea07a8,"2024-08-25 14:21:49"
040341ef-1271-4dbc-96f3-f3276ce67344,Beni-Mellal,7bf36b79-c53e-4330-b4d8-33ddc9d0eaab,"2024-08-25 14:21:49"
0414607c-b69b-4503-8957-67f9e7404585,Chatsworth,4014d078-e6bc-43c6-8d3a-2a96853dc6c3,"2024-08-25 14:21:49"
0427b96c-4eb2-44e0-9d03-3183df3bb0de,Dayton,d483795b-4820-40c7-b8d4-d53114ea07a8,"2024-08-25 14:21:49"
0476c145-c755-475b-b8f3-d177e366c82b,Zeleznogorsk,4863649f-cb3e-4ac3-926a-427c5a2941ee,"2024-08-25 14:21:50"
04da0cfc-b99c-4fca-950c-2a68db1ffa1f,"San Miguel de Tucumán",d21550c4-7003-43d8-bc09-a5adbbcf8015,"2024-08-25 14:21:50"
04ffc5a2-f6dc-47fc-93df-93c724184bb6,"Juazeiro do Norte",c54cb78a-6f18-4a69-a6da-cf891071719e,"2024-08-25 14:21:49"
05c645da-895f-4c1f-aa5b-d316c44df2bf,Syrakusa,995d06bc-2156-4804-8c18-712d0d48cfcd,"2024-08-25 14:21:50"
0649daea-c8b4-499a-949d-609b3ed6099e,Caracas,f816194f-6489-4822-ba1c-e769e0a3778b,"2024-08-25 14:21:49"
07511659-b222-4a91-911e-3b9751122918,"Addis Abeba",40c3557f-c798-4d21-b7d5-537e96f4e3f9,"2024-08-25 14:21:48"
087fab14-11ab-413f-8c38-7c63fed4b43b,"Juiz de Fora",c54cb78a-6f18-4a69-a6da-cf891071719e,"2024-08-25 14:21:49"
091b334e-905a-4859-a57e-047464ebd70e,Atšinsk,4863649f-cb3e-4ac3-926a-427c5a2941ee,"2024-08-25 14:21:49"
0a8b1179-5afb-4e86-ad37-260348fa7ed3,Tonghae,d99f7231-ca88-486f-81a8-9d3068438759,"2024-08-25 14:21:50"
